Brasil-Oitavas-Quartas-Semi-Final-Campeão,0.3236
Brasil-Oitavas-Quartas-Semi-Final-Eliminado,0.1039
Brasil-Oitavas-Quartas-Semi-Eliminado,0.1486
Brasil-Oitavas-Quartas-Eliminado,0.1079
Brasil-Oitavas-Eliminado,0.239
Brasil-Eliminado,0.077
Espanha-Oitavas-Quartas-Semi-Final-Campeão,0.2042
Espanha-Oitavas-Quartas-Semi-Final-Eliminado,0.1509
Espanha-Oitavas-Quartas-Semi-Eliminado,0.2079
Espanha-Oitavas-Quartas-Eliminado,0.2291
Espanha-Oitavas-Eliminado,0.1909
Espanha-Eliminado,0.017
Alemanha-Oitavas-Quartas-Semi-Final-Campeão,0.1113
Alemanha-Oitavas-Quartas-Semi-Final-Eliminado,0.0868
Alemanha-Oitavas-Quartas-Semi-Eliminado,0.1215
Alemanha-Oitavas-Quartas-Eliminado,0.1139
Alemanha-Oitavas-Eliminado,0.5053
Alemanha-Eliminado,0.0612
França-Oitavas-Quartas-Semi-Final-Campeão,0.0922
França-Oitavas-Quartas-Semi-Final-Eliminado,0.0924
França-Oitavas-Quartas-Semi-Eliminado,0.2383
França-Oitavas-Quartas-Eliminado,0.3364
França-Oitavas-Eliminado,0.2407
França-Eliminado,0
Portugal-Oitavas-Quartas-Semi-Final-Campeão,0.0663
Portugal-Oitavas-Quartas-Semi-Final-Eliminado,0.1008
Portugal-Oitavas-Quartas-Semi-Eliminado,0.1237
Portugal-Oitavas-Quartas-Eliminado,0.2547
Portugal-Oitavas-Eliminado,0.2814
Portugal-Eliminado,0.112
Croácia-Oitavas-Quartas-Semi-Final-Campeão,0.0526
Croácia-Oitavas-Quartas-Semi-Final-Eliminado,0.1027
Croácia-Oitavas-Quartas-Semi-Eliminado,0.1237
Croácia-Oitavas-Quartas-Eliminado,0.3813
Croácia-Oitavas-Eliminado,0.3397
Croácia-Eliminado,0
Bélgica-Oitavas-Quartas-Semi-Final-Campeão,0.0437
Bélgica-Oitavas-Quartas-Semi-Final-Eliminado,0.08
Bélgica-Oitavas-Quartas-Semi-Eliminado,0.1555
Bélgica-Oitavas-Quartas-Eliminado,0.4932
Bélgica-Oitavas-Eliminado,0.2274
Bélgica-Eliminado,0.000199999999999978
Inglaterra-Oitavas-Quartas-Semi-Final-Campeão,0.0402
Inglaterra-Oitavas-Quartas-Semi-Final-Eliminado,0.0857
Inglaterra-Oitavas-Quartas-Semi-Eliminado,0.2085
Inglaterra-Oitavas-Quartas-Eliminado,0.42
Inglaterra-Oitavas-Eliminado,0.1989
Inglaterra-Eliminado,0.0467
Uruguai-Oitavas-Quartas-Semi-Final-Campeão,0.0196
Uruguai-Oitavas-Quartas-Semi-Final-Eliminado,0.0389
Uruguai-Oitavas-Quartas-Semi-Eliminado,0.1007
Uruguai-Oitavas-Quartas-Eliminado,0.1903
Uruguai-Oitavas-Eliminado,0.6505
Uruguai-Eliminado,0
México-Oitavas-Quartas-Semi-Final-Campeão,0.0171
México-Oitavas-Quartas-Semi-Final-Eliminado,0.0503
México-Oitavas-Quartas-Semi-Eliminado,0.1451
México-Oitavas-Quartas-Eliminado,0.2436
México-Oitavas-Eliminado,0.501
México-Eliminado,0.0429
